"activity" "subject" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"WALKING" "1" 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 0.0799407763368421 -0.167359936813684 0.174964719959684 -0.667835005842105 -0.671316375368421 -0.763338361473684 -0.949656491052632 0.868920798947369 -0.293611496842105 -0.0628860656842106 0.947006739157895 -0.260094338736842 0.314136444565263 0.321422887684211 -0.0400833257557895 0.281260329237895 0.0740416333157895 0.028272109588421 -0.918113861578948 -0.952346615578947 -0.887118381157895 -0.0684548826114737 -0.127925099405263 -0.452059674 -0.436562227473684 -0.36828013751579 -0.344266629473684 -0.497329132 -0.286403676210526 -0.271655742736842 0.00389538026105264 0.330611418947368 0.191824971883158 -0.193560919805263 -0.930850458421053 -0.906174174947368 -0.964846811684211 -0.875448240631579 -0.733913772105263 -0.913849623578947 -0.136971176556842 -0.219688645631579 -0.297425837894737 -0.185622917873684 -0.723198333789474 -0.136971176556842 -0.325324878894737 -0.361842899578947 -0.33126776888421 -0.531885493105263 -0.29870367908421 -0.745800231684211 -0.737627317789474 -0.650638141684211 -0.652947204631579 -0.76919291431579 -0.634119783568421 -0.773072162842105 -0.128623450629474 -0.689131219578947
"WALKING" "2" 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 0.105832245038983 -0.170066954830508 0.288221886610169 -0.714132015254237 -0.773740214847457 -0.493371845661017 -0.972923131186441 0.848431402881356 -0.356341643050848 0.0819139581016949 0.924184268983051 -0.322984228474576 0.465972588135593 0.3296419987 -0.241298144779661 -0.0658090309491525 0.0618080696279661 0.0182492679288136 -0.955975453898305 -0.965781333559322 -0.918855456949153 -0.26847872259322 -0.319598538474576 -0.611522634576271 -0.559856635084746 -0.481481335423729 -0.481085535084746 -0.550073869661017 -0.23949330190339 -0.396425708305085 0.0968305507466102 0.321661552014068 0.184568956923729 -0.216054896237288 -0.942222829322034 -0.941228166440678 -0.973670014067797 -0.918931997627119 -0.735297825762712 -0.936008847288136 -0.290407593728813 -0.422544169322034 -0.494211893728814 -0.295146615084746 -0.682499111525424 -0.290407593728813 -0.557798151355932 -0.580948398983051 -0.590580568305085 -0.668476626779661 -0.547911950338983 -0.887725408644068 -0.766186334576271 -0.651805957457627 -0.696912997966102 -0.841788712881356 -0.62594973881356 -0.935932219152542 -0.324289427932204 -0.827531521186441
"WALKING" "3" 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 -0.0269880285965518 -0.135311724415517 0.178072640022414 -0.738745339655173 -0.763356832724138 -0.751683925689655 -0.953759198965517 0.86981281362069 -0.271175036896552 -0.133766800758621 0.948792464310345 -0.241903841551724 0.320809456034483 0.236571094982759 0.140368770689655 0.119717908474138 0.0814745882660345 0.0100591485 -0.958877399827586 -0.959137984827586 -0.935699054310345 -0.362205869137931 -0.212660002386207 -0.59216895137931 -0.545896388103448 -0.489697817586207 -0.476696411551724 -0.569471751896552 -0.220469530193621 -0.29306690637931 0.0692421889732759 0.391968612655173 0.0313731468363793 -0.298600048672414 -0.943035292068966 -0.939222357413794 -0.982767718965518 -0.925638042413793 -0.709214762586207 -0.935755410344828 -0.254690333275862 -0.328428936551724 -0.437758074655172 -0.2100039489 -0.745770025344827 -0.254690333275862 -0.567371560862069 -0.587064662586207 -0.605068642068965 -0.734457675 -0.566135217931034 -0.898691727413793 -0.80459183637931 -0.720259894293103 -0.713097927241379 -0.808341269655172 -0.749108203810345 -0.949170523793104 -0.290031535172414 -0.767460444310345
"WALKING" "4" 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333334 -0.0788267367683334 -0.586252806833333 0.09200847394 -0.246262982218333 0.249393319278833 -0.814050553666667 -0.843466275666667 -0.784396233 -0.9630891765 0.895020413666667 -0.1011688005 0.126423595983333 0.9775361255 -0.06725896585 0.641068377666667 -0.0666911924833333 -0.2810648057 0.05645850869 0.0783529082183333 0.00295602428666666 -0.980573142333333 -0.986177159833333 -0.969370201166667 -0.334233366833333 -0.3633750935 -0.716514761 -0.716458475166667 -0.416192622666667 -0.662608226 -0.5028022105 -0.306956533916667 -0.527069515666667 0.223039443938333 0.2689209925 0.321836158766667 -0.0808630898443333 -0.920177535166667 -0.9127346635 -0.947147710666666 -0.874363401333334 -0.8695280775 -0.909120849000001 -0.312050574166667 -0.527679103166667 -0.578967097833333 -0.456913572833333 -0.658537154666667 -0.312050574166667 -0.7301463685 -0.738298274166667 -0.741433589833333 -0.741330595833333 -0.6813040365 -0.950513695 -0.821639569833333 -0.779703379 -0.819075605 -0.8837405425 -0.726436781 -0.988611579 -0.450804558333333 -0.883664900333333
"WALKING" "5" 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625 0.136457804244643 -0.292247916785714 0.247150477107143 -0.777480224642857 -0.765951879464286 -0.831709994285714 -0.966083310714286 0.905658394464285 -0.112925876375 0.002440916225 0.984596124464286 -0.08291376875 0.33463641 0.156254978625 -0.132134900540714 0.0719275977798214 0.0845888833571429 -0.0163194101232143 -0.969110403392857 -0.975227001428572 -0.938953386607143 -0.224479430064821 -0.300183020482143 -0.584661000714286 -0.420367075178571 -0.416408760178571 -0.318700615178571 -0.476313829821429 -0.112552945560714 0.0391006468373214 0.222167024285714 0.279422479857143 0.123420551357143 -0.195176976989286 -0.940534695357143 -0.932345614821429 -0.966260431785714 -0.889491530892857 -0.649333774107143 -0.931221369464286 -0.158338674394643 -0.377178733392857 -0.440943258571429 -0.2956087935 -0.5556687875 -0.158338674394643 -0.48919974625 -0.484256349821428 -0.575493791428572 -0.62786045875 -0.444532485357143 -0.843287625892857 -0.776224184953571 -0.747614729821429 -0.80835279125 -0.857531188571429 -0.0578817721428572 -0.915187476428572 -0.304992488892857 -0.798584507857143
"WALKING" "6" 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982 0.113012875887719 -0.279175259263158 0.245289229 -0.663113380350877 -0.663571729964912 -0.764905493508772 -0.958107239298246 0.891815346140351 -0.224688233684211 0.0351134874824561 0.970355325614035 -0.194814752807018 0.269511144264912 0.325097299754386 -0.0265285940526316 0.0169139699122807 0.0699585876912281 -0.0164831715964912 -0.921755822982456 -0.920621507719298 -0.905194868947368 -0.108863313408772 -0.189878358663158 -0.60627436368421 -0.512209233508772 -0.352804637719298 -0.383139334736842 -0.442595292807018 -0.303283015 -0.0534600115263159 0.122512102133333 0.294080242947369 0.277571981508772 0.0307562592842105 -0.726410778438597 -0.797280656315789 -0.94576084368421 -0.869114989298246 -0.59178655877193 -0.727757009912281 -0.166840713631579 -0.266734167368421 -0.343835534736842 -0.195735014947368 -0.686470936140351 -0.166840713631579 -0.364708342315789 -0.409633134736842 -0.374492106631579 -0.483519873196491 -0.321290483140351 -0.752423158070175 -0.731905239649123 -0.642726699894737 -0.732870551754386 -0.818442256140351 -0.145795525245614 -0.835205697368421 -0.201386607649123 -0.72314797122807
"WALKING" "7" 0.275592961754386 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.0772618561052632 0.159631283261403 0.107585845110526 0.010826462287193 0.0252271753438597 -0.676336824035088 -0.695150783368421 -0.794835885087719 -0.952851979649123 0.865467834561403 -0.173053147368421 -0.156876780921579 0.945493292631579 -0.13910035177193 0.558430386666667 0.00265998777894733 0.187488615824561 0.424212271754386 0.0901462649192982 0.0184322723280702 -0.844450453333333 -0.867518311403509 -0.669545490350877 -0.375808357894737 -0.294265068824561 -0.374583897736842 -0.463270018245614 -0.411596271754386 -0.396013535263158 -0.530338025614035 -0.39034721584386 -0.161655887333333 0.308480098070176 0.180700470122807 0.194693398929825 -0.227809053175439 -0.848102660877193 -0.872475205438596 -0.978163125614035 -0.891637394736842 -0.683147241403509 -0.842753050701754 -0.0978090439438596 -0.198554708385965 -0.346372543859649 0.00609295072280701 -0.564886595789474 -0.0978090439438596 -0.0953401161070176 -0.231825092901754 -0.112068899326316 -0.558487156368421 -0.300022779964912 -0.67632683631579 -0.819501085964912 -0.703734016842105 -0.67879271 -0.733116704210526 -0.597096191578948 -0.675444147192982 -0.151243649578947 -0.669550476315789
"WALKING" "8" 0.27468631 -0.0186628865310417 -0.107252090833333 -0.173605736002083 0.380782052708333 -0.1420885318125 0.229913475539583 -0.163852089866667 0.0894461039391666 -0.517964428520833 -0.576411251041667 -0.713060479791667 -0.957709290416667 0.848709585833333 -0.225309986458333 -0.183559911354167 0.924855462083334 -0.199899088333333 0.449283648958333 0.165914031145833 -0.120799527145833 -0.15543173314375 0.0703393490833333 -0.00603947514583333 -0.886062568125 -0.920085268333333 -0.853090220208333 -0.0951574966270833 0.226583583145833 -0.369009465220833 -0.1429742348125 -0.108642713470833 -0.0754447842395833 -0.197684020020833 -0.106279511366042 -0.111586523748125 0.107846678620833 0.254112761729167 0.261558014333333 -0.457106679583333 -0.884024215833333 -0.835044100208333 -0.855971517083333 -0.678119860208333 -0.804701196041667 -0.85241774375 0.0516786278104167 -0.1804072826 -0.277357521458333 -0.0792229877708333 -0.657027362708334 0.0516786278104167 -0.502957255416667 -0.51298498125 -0.517830148333334 -0.428603653083333 -0.339129269583333 -0.801862208333333 -0.76082394 -0.577650242727083 -0.58038927775 -0.686353116041666 -0.617816094375 -0.879067376041667 -0.09521728274375 -0.656293002916667
"WALKING" "9" 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769 -0.0348637042961538 -0.125364007644231 0.102007227365385 -0.858445065961539 -0.853783531346154 -0.876729033846154 -0.956694063653846 0.884295870769231 -0.049383207648 -0.112445433396346 0.965118594038462 -0.0130146239615385 0.656558318461538 -0.278448674903846 0.15355297975 -0.176156275096154 0.0704357270480769 0.0212255910017308 -0.934561028461539 -0.922154224230769 -0.881266021346154 -0.0184330629275462 -0.282136245384615 -0.401905610961538 -0.342367223269231 -0.406706326153846 -0.265683521346154 -0.477721646346154 -0.151823479534615 -0.169329416775 0.146444228465385 0.274667909721154 0.305588589519231 -0.519767695384615 -0.910273371538461 -0.925028266730769 -0.962068410192307 -0.864718370384615 -0.895447670576923 -0.907259637115384 -0.0980840496143461 -0.37942877 -0.438346066346154 -0.320899640326923 -0.613354890192308 -0.0980840496143461 -0.599866472692308 -0.609909460384615 -0.620883290961538 -0.593213908326923 -0.510253995769231 -0.882633622115385 -0.777471513461539 -0.72441716 -0.856704517307692 -0.876207003461538 -0.616710877884616 -0.924977469230769 -0.318801022711538 -0.798728374423077
"WALKING" "10" 0.278574076603774 -0.017022351190566 -0.109057512132076 -0.178709734396226 -0.0227431651698113 -0.395645072075472 0.164467255660377 -0.00820438260188679 0.137883163613208 -0.546043427811321 -0.665603494716981 -0.377260367792453 -0.959583001698113 0.897812604150944 -0.10015321409434 0.0565184422264151 0.97385709735849 -0.0648407767924528 0.0448543793169811 -0.255533764679245 -0.22758201894151 -0.0244950234339623 0.0857943809283019 0.00408248792641509 -0.884895716226415 -0.914660678113208 -0.882029382075472 -0.0404265428679245 -0.255053355433962 -0.614597176415094 -0.273292866226415 -0.332955431886792 -0.174524868603774 -0.419272329622642 -0.127485016041509 -0.095877891090566 0.101115683879245 0.193225666 0.576431507358491 -0.311120032 -0.86461962490566 -0.884742916415094 -0.950163912075471 -0.835643333207547 -0.824179743962264 -0.859200740377359 -0.127400912069811 -0.185602396067925 -0.290658230094339 -0.133578548773585 -0.687548151886793 -0.127400912069811 -0.501027916603774 -0.516205243962264 -0.553860333962264 -0.452127613962264 -0.440363636603774 -0.844846881698113 -0.728967260754717 -0.521958833098113 -0.512274877207547 -0.70680977490566 -0.764476252264151 -0.940943519056604 -0.0930237422792453 -0.660460493207547
